unit_ids,unit location,branch_id,velocity,length,r2
237,[1435.  -542.5],2,172.2809173,881.4839938,0.980186492
237,[1435.  -542.5],3,204.8212779,293.5222331,0.931795385
237,[1435.  -542.5],4,235.6173629,152.3935688,0.99588029
243,[ 2362.5 -1452.5],0,143.9632407,210.9692399,0.986715474
254,[ 962.5 -682.5],0,444.9945801,491.7942289,0.978451899
274,[2537.5 -822.5],0,551.1729551,593.5964458,0.987753211
274,[2537.5 -822.5],1,851.5291491,369.872351,0.974618278
274,[2537.5 -822.5],2,529.0252274,557.9627193,0.95817344
274,[2537.5 -822.5],3,352.3529208,250.5170518,0.941698608
276,[ 2345.  -1277.5],0,235.5991607,876.262815,0.953735473
277,[ 2345.  -1312.5],0,209.0296524,130.7623792,0.910919364
277,[ 2345.  -1312.5],1,336.7322428,226.2303162,0.80810291
277,[ 2345.  -1312.5],2,461.8782036,486.0187727,0.936229487
299,[ 1837.5 -1102.5],0,124.6153383,571.7213317,0.993765062
320,[ 2607.5 -1645. ],0,410.314905,603.7526973,0.899200322
354,[ 3185. -1505.],0,158.8518355,410.2825793,0.989845081
354,[ 3185. -1505.],1,118.50723,494.3017706,0.959385188
355,[ 3185. -1470.],0,249.2904559,165.8774016,0.98405107
355,[ 3185. -1470.],1,229.9890315,715.757603,0.997942147
356,[ 3272.5 -1575. ],0,272.9768775,1403.630576,0.96267825
356,[ 3272.5 -1575. ],1,175.6067908,515.9748883,0.99491638
359,[ 3272.5 -1575. ],0,201.2949633,814.9443643,0.964727463
363,[ 1785.  -1837.5],0,840.1540443,1636.449508,0.980647929
366,[  892.5 -1417.5],0,471.738513,566.335761,0.976767152
368,[  857.5 -1417.5],0,230.0365328,345.5922777,0.975489174
368,[  857.5 -1417.5],1,143.6193558,407.4130027,0.99868401
375,[ 2362.5 -1452.5],0,593.4238182,1485.118872,0.993126827
375,[ 2362.5 -1452.5],1,261.0132495,810.1066188,0.978708586
376,[ 2345.  -1487.5],0,552.9039672,742.0653546,0.991635935
376,[ 2345.  -1487.5],1,232.4732043,536.3750294,0.996159737
376,[ 2345.  -1487.5],2,286.8410352,721.8763522,0.996485892
378,[ 2362.5 -1470. ],0,234.0855162,389.9019231,0.957686951
378,[ 2362.5 -1470. ],1,477.9250493,285.1985245,0.846237288
378,[ 2362.5 -1470. ],2,433.6816286,1991.642592,0.979668154
378,[ 2362.5 -1470. ],3,238.0076589,1056.085526,0.889136126
380,[ 2170.  -1067.5],0,141.2149919,232.0921445,0.978487657
381,[ 2170.  -1032.5],0,110.6043784,563.8422354,0.974435079
382,[ 2555. -1610.],0,470.8863314,1117.365596,0.998740844
382,[ 2555. -1610.],1,225.1485255,545.0802566,0.98741981
382,[ 2555. -1610.],2,372.0598039,681.3174809,0.997161879
382,[ 2555. -1610.],3,190.64803,502.1660099,0.857178518
383,[ 2555. -1610.],0,418.5236046,469.4614314,0.994559197
384,[ 2555. -1610.],0,94.02390696,469.627572,0.992636389
384,[ 2555. -1610.],1,520.9142889,570.3671444,0.999502309
384,[ 2555. -1610.],2,497.7233008,1159.136248,0.988169095
385,[ 1767.5 -1522.5],0,340.7750363,1301.134527,0.848343066
386,[1837.5 -945. ],0,1019.13599,373.1057386,0.968323602
387,[ 3272.5 -1225. ],0,175.9731264,518.9417195,0.954317749
388,[ 2625. -1435.],0,72.60714114,405.476251,0.897689001
388,[ 2625. -1435.],1,533.8084542,897.002897,0.918700332
389,[ 2590. -1645.],0,109.1625402,586.0278622,0.975249193
389,[ 2590. -1645.],1,28.86401329,312.1253214,0.993709281
389,[ 2590. -1645.],2,508.2245368,1202.266283,0.962833695
389,[ 2590. -1645.],3,307.3776037,829.9070671,0.999685924
390,[2730.  -962.5],0,128.6198748,717.9418917,0.969031459
393,[2047.5 -455. ],0,222.2846785,242.7334279,0.9869132
396,[ 2555.  -1312.5],0,71.5115539,424.271992,0.91544628
400,[ 1925. -1190.],0,118.9035895,744.4707077,0.900343209
400,[ 1925. -1190.],1,122.4399473,868.1015948,0.948235467
401,[3290. -980.],0,496.5266734,491.0810204,0.99139068
401,[3290. -980.],1,478.9786652,943.6268771,0.988482959
401,[3290. -980.],2,101.3073545,218.4732256,0.985074189
402,[ 2992.5 -1032.5],0,1198.248063,451.6396086,0.933553741
406,[ 962.5 -735. ],0,179.1164377,261.3620922,0.829546084
408,[ 3185. -1470.],0,245.1177583,251.5035406,0.964090432
408,[ 3185. -1470.],1,177.7625098,389.4056609,0.979378978
